"HDI Rank","Country","GDI_value","HDI_f","HDI_m","Life_expectancy_at_birth_f","Life_Expectancy_at_birth_m","Expected_years_of_schooling_f","Expected_years_of_schooling_m","Mean_years_of_schooling_f","Mean_years_of_schooling_m","2017_Estimated _gross _ national_income_per_capita_f","2017_Estimated _gross _ national_income_per_capita_m"
64,"Serbia",0.9771722781563892,0.7965022233070886,0.8151093119524768,78.617,73.407,15.27885,14.22612,10.79403,11.6315,13989.976276170857,20525.48347320908
66,"Mauritius",0.975621068053823,0.7908049515118885,0.810565676989113,78.458,71.652,15.71515,14.41561,9.42,9.67,15870.125753671531,34898.00544968996
67,"Seychelles",,,,77.382,69.901,15.33334,13.07452,9.924249785,10.07079123,,
67,"Trinidad and Tobago",1.0033719336064926,0.795913611205784,0.7932388624275885,76.224,70.874,13.9531,11.9669,11.136,10.942,20482.157144615485,32121.15637173099
69,"Albania",0.9668253716934854,0.780396712670255,0.807174424170641,80.201,77.002,15.50103,13.95683,9.701855484,10.61449619,11004.45479585217,16884.667132163697
70,"Cuba",0.9439679891565752,0.7543093231752056,0.7990835831723198,80.779,76.84,14.70576,13.87923,11.24459671,11.79881455,5714.231459579432,11567.291143913779
70,"Iran (Islamic Republic of)",0.8655538720919798,0.7093174308169157,0.8194954163887544,77.885,75.593,14.5749,15.04388,10.27779,10.40977,4083.6031816690056,20636.86061401429
72,"Sri Lanka",0.9553278454664627,0.7588926078050203,0.7943792399712499,80.261,73.596,14.46011,13.7606,10.62112,10.64824,7433.100497864907,18423.277260030936
73,"Bosnia and Herzegovi ",0.937114942029348,0.7525972148013214,0.8031002186045092,79.857,74.893,14.07886364,13.52113636,8.85433,10.85816,10566.53285490034,19356.56489262266
74,"Gre da",,,,74.953,70.073,16.9871,16.2318,,,,
74,"Mexico",0.9600814333911668,0.7602351443558286,0.7918444393519329,77.879,72.203,15.04027,14.576,8.5876,8.94763,12765.005747243185,25838.402582617924
74,"Saint Kitts and Nevis",,,,,,14.00415246,13.68650754,,,,
74,"Ukraine",1.0001863886739462,0.7762094486803529,0.7760647989915725,76.848,67.097,15.28740069,14.8602934,11.336,11.3481,10088.442157896905,16839.98438718282
78,"Antigua and Barbuda",,,,78.104,75.858,13.204,12.13972042,,,,
